N,BW,bit_errors
0.0,0.006,0
0.0,0.012,0
0.0,0.018,0
0.0,0.024,0
0.0,0.03,0
0.0,0.036,0
0.0,0.042,0
0.0,0.048,0
0.0,0.054,0
0.0,0.06,0
0.0,0.066,0
0.0,0.072,0
0.0,0.078,0
0.0,0.084,0
0.0,0.09,0
0.0,0.096,0
0.0,0.102,0
0.0,0.108,0
0.0,0.114,0
0.0,0.12,0
0.0,0.126,0
0.0,0.132,0
0.0,0.138,0
0.0,0.144,0
0.0,0.15,0
0.0,0.156,0
0.0,0.162,0
0.0,0.168,0
0.0,0.174,0
0.0,0.18,0
0.0,0.186,0
0.0,0.192,0
0.0,0.198,0
0.0,0.204,0
0.0,0.21,0
0.0,0.216,0
0.0,0.222,0
0.0,0.228,0
0.0,0.234,0
0.0,0.24,0
0.0,0.246,0
0.0,0.252,0
0.5,0.006,3
0.5,0.012,3
0.5,0.018,3
0.5,0.024,3
0.5,0.03,3
0.5,0.036,3
0.5,0.042,3
0.5,0.048,3
0.5,0.054,2
0.5,0.06,2
0.5,0.066,2
0.5,0.072,2
0.5,0.078,2
0.5,0.084,2
0.5,0.09,2
0.5,0.096,2
0.5,0.102,2
0.5,0.108,2
0.5,0.114,2
0.5,0.12,2
0.5,0.126,2
0.5,0.132,2
0.5,0.138,2
0.5,0.144,2
0.5,0.15,2
0.5,0.156,2
0.5,0.162,2
0.5,0.168,2
0.5,0.174,2
0.5,0.18,2
0.5,0.186,2
0.5,0.192,2
0.5,0.198,3
0.5,0.204,3
0.5,0.21,2
0.5,0.216,4
0.5,0.222,3
0.5,0.228,4
0.5,0.234,18
0.5,0.24,2
0.5,0.246,3
0.5,0.252,3
1.0,0.006,21
1.0,0.012,21
1.0,0.018,21
1.0,0.024,21
1.0,0.03,21
1.0,0.036,21
1.0,0.042,21
1.0,0.048,20
1.0,0.054,21
1.0,0.06,20
1.0,0.066,20
1.0,0.072,19
1.0,0.078,23
1.0,0.084,26
1.0,0.09,25
1.0,0.096,25
1.0,0.102,22
1.0,0.108,21
1.0,0.114,19
1.0,0.12,16
1.0,0.126,17
1.0,0.132,20
1.0,0.138,23
1.0,0.144,18
1.0,0.15,18
1.0,0.156,23
1.0,0.162,21
1.0,0.168,21
1.0,0.174,20
1.0,0.18,19
1.0,0.186,20
1.0,0.192,25
1.0,0.198,16
1.0,0.204,18
1.0,0.21,35
1.0,0.216,51
1.0,0.222,30
1.0,0.228,27
1.0,0.234,23
1.0,0.24,24
1.0,0.246,27
1.0,0.252,62
1.5,0.006,41
1.5,0.012,41
1.5,0.018,42
1.5,0.024,42
1.5,0.03,41
1.5,0.036,41
1.5,0.042,40
1.5,0.048,40
1.5,0.054,40
1.5,0.06,45
1.5,0.066,44
1.5,0.072,43
1.5,0.078,41
1.5,0.084,42
1.5,0.09,36
1.5,0.096,37
1.5,0.102,43
1.5,0.108,44
1.5,0.114,50
1.5,0.12,40
1.5,0.126,46
1.5,0.132,43
1.5,0.138,47
1.5,0.144,36
1.5,0.15,41
1.5,0.156,37
1.5,0.162,41
1.5,0.168,47
1.5,0.174,60
1.5,0.18,67
1.5,0.186,66
1.5,0.192,47
1.5,0.198,46
1.5,0.204,86
1.5,0.21,92
1.5,0.216,88
1.5,0.222,115
1.5,0.228,43
1.5,0.234,69
1.5,0.24,84
1.5,0.246,83
1.5,0.252,47
2.0,0.006,55
2.0,0.012,54
2.0,0.018,54
2.0,0.024,53
2.0,0.03,53
2.0,0.036,54
2.0,0.042,54
2.0,0.048,53
2.0,0.054,76
2.0,0.06,54
2.0,0.066,54
2.0,0.072,56
2.0,0.078,59
2.0,0.084,58
2.0,0.09,60
2.0,0.096,56
2.0,0.102,55
2.0,0.108,55
2.0,0.114,65
2.0,0.12,86
2.0,0.126,88
2.0,0.132,95
2.0,0.138,81
2.0,0.144,81
2.0,0.15,82
2.0,0.156,61
2.0,0.162,95
2.0,0.168,69
2.0,0.174,86
2.0,0.18,105
2.0,0.186,91
2.0,0.192,104
2.0,0.198,99
2.0,0.204,96
2.0,0.21,74
2.0,0.216,94
2.0,0.222,95
2.0,0.228,79
2.0,0.234,56
2.0,0.24,79
2.0,0.246,101
2.0,0.252,107
2.5,0.006,66
2.5,0.012,64
2.5,0.018,62
2.5,0.024,64
2.5,0.03,64
2.5,0.036,62
2.5,0.042,80
2.5,0.048,61
2.5,0.054,68
2.5,0.06,62
2.5,0.066,61
2.5,0.072,59
2.5,0.078,63
2.5,0.084,64
2.5,0.09,83
2.5,0.096,83
2.5,0.102,90
2.5,0.108,83
2.5,0.114,80
2.5,0.12,96
2.5,0.126,72
2.5,0.132,72
2.5,0.138,80
2.5,0.144,97
2.5,0.15,85
2.5,0.156,78
2.5,0.162,76
2.5,0.168,104
2.5,0.174,93
2.5,0.18,109
2.5,0.186,96
2.5,0.192,92
2.5,0.198,114
2.5,0.204,125
2.5,0.21,66
2.5,0.216,87
2.5,0.222,115
2.5,0.228,105
2.5,0.234,102
2.5,0.24,97
2.5,0.246,106
2.5,0.252,97
3.0,0.006,75
3.0,0.012,74
3.0,0.018,72
3.0,0.024,75
3.0,0.03,75
3.0,0.036,67
3.0,0.042,70
3.0,0.048,67
3.0,0.054,67
3.0,0.06,75
3.0,0.066,75
3.0,0.072,72
3.0,0.078,88
3.0,0.084,81
3.0,0.09,89
3.0,0.096,104
3.0,0.102,96
3.0,0.108,106
3.0,0.114,103
3.0,0.12,112
3.0,0.126,105
3.0,0.132,102
3.0,0.138,104
3.0,0.144,109
3.0,0.15,93
3.0,0.156,103
3.0,0.162,96
3.0,0.168,90
3.0,0.174,116
3.0,0.18,98
3.0,0.186,113
3.0,0.192,112
3.0,0.198,98
3.0,0.204,111
3.0,0.21,109
3.0,0.216,94
3.0,0.222,112
3.0,0.228,102
3.0,0.234,105
3.0,0.24,96
3.0,0.246,114
3.0,0.252,98
3.5,0.006,82
3.5,0.012,77
3.5,0.018,79
3.5,0.024,85
3.5,0.03,74
3.5,0.036,72
3.5,0.042,74
3.5,0.048,78
3.5,0.054,82
3.5,0.06,108
3.5,0.066,87
3.5,0.072,121
3.5,0.078,87
3.5,0.084,77
3.5,0.09,123
3.5,0.096,70
3.5,0.102,91
3.5,0.108,100
3.5,0.114,91
3.5,0.12,104
3.5,0.126,103
3.5,0.132,116
3.5,0.138,103
3.5,0.144,95
3.5,0.15,97
3.5,0.156,115
3.5,0.162,96
3.5,0.168,113
3.5,0.174,109
3.5,0.18,115
3.5,0.186,125
3.5,0.192,113
3.5,0.198,101
3.5,0.204,106
3.5,0.21,99
3.5,0.216,99
3.5,0.222,96
3.5,0.228,104
3.5,0.234,99
3.5,0.24,109
3.5,0.246,109
3.5,0.252,94
4.0,0.006,85
4.0,0.012,82
4.0,0.018,73
4.0,0.024,74
4.0,0.03,81
4.0,0.036,84
4.0,0.042,86
4.0,0.048,97
4.0,0.054,85
4.0,0.06,93
4.0,0.066,89
4.0,0.072,119
4.0,0.078,96
4.0,0.084,92
4.0,0.09,111
4.0,0.096,107
4.0,0.102,109
4.0,0.108,117
4.0,0.114,108
4.0,0.12,107
4.0,0.126,100
4.0,0.132,105
4.0,0.138,108
4.0,0.144,116
4.0,0.15,115
4.0,0.156,109
4.0,0.162,116
4.0,0.168,112
4.0,0.174,96
4.0,0.18,102
4.0,0.186,101
4.0,0.192,107
4.0,0.198,102
4.0,0.204,112
4.0,0.21,109
4.0,0.216,109
4.0,0.222,110
4.0,0.228,107
4.0,0.234,118
4.0,0.24,112
4.0,0.246,91
4.0,0.252,113
